attn_cue,left_ob,right_ob,congruent,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,text_2.started,text_2.stopped,init_key_resp.keys,init_key_resp.rt,init_key_resp.started,init_key_resp.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,block_num,texter.started,texter.stopped,cross.started,cross.stopped,left_star.started,left_star.stopped,right_star.started,right_star.stopped,left_2.started,left_2.stopped,right_2.started,right_2.stopped,key_resp.keys,key_resp.started,key_resp.stopped,Rand Tim,text.started,text.stopped,key_resp.rt,end.started,end.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
right,0.75,1.0,1,0,0,0,0,1,0,1,0,0,1,1,7,,,,,,,,,,,,,,,1s,244.5366767559899,245.53637494007125,245.52839988807682,None,246.52806999499444,247.09477534203324,246.52806999499444,247.09477534203324,247.0866879010573,None,247.0866879010573,None,space,247.0866879010573,None,0.5603,247.4605904830387,None,0.23621142096817493,,,,,,,DEC013,001,2022_Aug_23_1327,2-25_cond_decay_EYE-try,2021.2.3,120.1773708384012,
right,1.0,0.75,0,0,0,0,0,1,0,1,0,0,2,2,6,,,,,,,,,,,,,,,1s,248.512080886052,249.51195932202972,249.50318604102358,None,250.5037162710214,251.47830267599784,250.5037162710214,251.47830267599784,251.47036122600548,None,251.47036122600548,None,space,251.47036122600548,None,0.969,251.84543885407038,None,0.24445740308146924,,,,,,,DEC013,001,2022_Aug_23_1327,2-25_cond_decay_EYE-try,2021.2.3,120.1773708384012,
left,0.75,1.0,0,0,0,0,0,1,0,1,0,0,3,3,3,,,,,,,,,,,,,,,1s,252.91106302908156,253.9114254200831,253.90333860507235,None,254.89476304803975,255.31185744109098,254.89476304803975,255.31185744109098,255.3196977720363,None,255.3196977720363,None,space,255.3196977720363,None,0.4184,255.6852964940481,None,0.23512722901068628,,,,,,,DEC013,001,2022_Aug_23_1327,2-25_cond_decay_EYE-try,2021.2.3,120.1773708384012,
right,1.0,0.75,0,0,0,0,0,1,0,1,0,0,4,4,8,,,,,,,,,,,,,,,1s,256.7516488090623,257.75371159706265,257.74545800103806,None,258.7450407000724,259.67892850900535,258.7450407000724,259.67892850900535,259.67892850900535,None,259.67892850900535,None,space,259.67892850900535,None,0.9335,260.03524935105816,None,0.21989061799831688,,,,,,,DEC013,001,2022_Aug_23_1327,2-25_cond_decay_EYE-try,2021.2.3,120.1773708384012,
left,1.0,0.75,1,0,0,0,0,1,0,1,0,0,5,5,9,,,,,,,,,,,,,,,1s,261.0939593920484,262.095529895043,262.0867054400733,None,263.08644720504526,263.3200922399992,263.08644720504526,263.3200922399992,263.3200922399992,None,263.3200922399992,None,space,263.3200922399992,None,0.2327,263.7440698330756,None,0.2907446180470288,,,,,,,DEC013,001,2022_Aug_23_1327,2-25_cond_decay_EYE-try,2021.2.3,120.1773708384012,
right,1.0,0.75,0,0,0,0,0,1,0,1,0,0,6,6,0,,,,,,,,,,,,,,,1s,264.794071292039,265.79554160905536,265.7866561760893,None,266.7870528950589,267.49561745207757,266.7870528950589,267.49561745207757,267.49561745207757,None,267.49561745207757,None,space,267.49561745207757,None,0.7081,267.8689880220918,None,0.23519151494838297,,,,,,,DEC013,001,2022_Aug_23_1327,2-25_cond_decay_EYE-try,2021.2.3,120.1773708384012,
left,0.75,1.0,0,0,0,0,0,1,0,1,0,0,7,7,2,,,,,,,,,,,,,,,1s,268.92767253902275,269.9287797079887,269.9122595010558,None,270.91226524603553,271.16991721699014,270.91226524603553,271.16991721699014,271.16991721699014,None,271.16991721699014,None,space,271.16991721699014,None,0.2532,271.6022356200265,None,0.29690714401658624,,,,,,,DEC013,001,2022_Aug_23_1327,2-25_cond_decay_EYE-try,2021.2.3,120.1773708384012,
right,1.0,0.75,0,0,0,0,0,1,0,1,0,0,8,8,5,,,,,,,,,,,,,,,1s,272.660666099051,273.66153595305514,273.64457957609557,None,274.6454970710911,275.5956528229872,274.6454970710911,275.5956528229872,275.5867043620674,None,275.5867043620674,None,space,275.5867043620674,None,0.9426,275.9774291100912,None,0.2562048389809206,,,,,,,DEC013,001,2022_Aug_23_1327,2-25_cond_decay_EYE-try,2021.2.3,120.1773708384012,
left,0.75,1.0,0,0,0,0,0,1,0,1,0,0,9,9,4,,,,,,,,,,,,,,,1s,277.0357901250245,278.03742841701023,278.0283137729857,None,279.0284621900646,279.6873418870382,279.0284621900646,279.6873418870382,279.6873418870382,None,279.6873418870382,None,space,279.6873418870382,None,0.6583,280.10329420806374,None,0.2835576389916241,,,,,,,DEC013,001,2022_Aug_23_1327,2-25_cond_decay_EYE-try,2021.2.3,120.1773708384012,
right,1.0,0.75,0,0,0,0,0,1,0,1,0,1,0,10,6,,,,,,,,,,,,,,,1s,281.16942929907236,282.17023831699044,282.16207040904555,None,283.16142220504116,283.803787770099,283.16142220504116,283.803787770099,283.79567018605303,None,283.79567018605303,None,space,283.79567018605303,None,0.6379,284.1778849940747,None,0.2472336469218135,,,,,,,DEC013,001,2022_Aug_23_1327,2-25_cond_decay_EYE-try,2021.2.3,120.1773708384012,
