attn_cue,left_ob,right_ob,congruent,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,text_2.started,text_2.stopped,init_key_resp.keys,init_key_resp.rt,init_key_resp.started,init_key_resp.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,block_num,texter.started,texter.stopped,cross.started,cross.stopped,left_star.started,left_star.stopped,right_star.started,right_star.stopped,left_2.started,left_2.stopped,right_2.started,right_2.stopped,key_resp.keys,key_resp.started,key_resp.stopped,Rand Tim,text.started,text.stopped,key_resp.rt,end.started,end.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
right,1.0,0.75,0,0,0,0,0,1,0,1,0,0,0,0,6,,,,,,,,,407.6107687950134,None,407.6107687950134,None,407.6107687950134,None,5s,409.7778888628818,410.7788666510023,410.77075682906434,None,411.77018044004217,415.71242111409083,411.77018044004217,415.71242111409083,415.71242111409083,None,415.71242111409083,None,space,415.71242111409083,None,3.9386,416.2025366597809,None,0.3601220762357116,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
left,0.75,1.0,0,0,0,0,0,1,0,1,0,0,1,1,8,,,,,,,,,,,,,,,5s,417.2940463437699,418.29573416989297,418.27875664504245,None,419.2785582691431,421.71255563385785,419.2785582691431,421.71255563385785,421.71255563385785,None,421.71255563385785,None,space,421.71255563385785,None,2.4311,422.21968978783116,None,0.3771652476862073,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
right,1.0,0.75,0,0,0,0,0,1,0,1,0,0,2,2,1,,,,,,,,,,,,,,,5s,423.3109716498293,424.3123796209693,424.29517076490447,None,425.29553354810923,428.48765937099233,425.29553354810923,428.48765937099233,428.48765937099233,None,428.48765937099233,None,space,428.48765937099233,None,3.1863,429.010475913994,None,0.39398923702538013,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
left,0.75,1.0,0,0,0,0,0,1,0,1,0,0,3,3,0,,,,,,,,,,,,,,,5s,430.1028812099248,431.1035174038261,431.09501237096265,None,432.0951062431559,437.0954323899932,432.0951062431559,437.0954323899932,437.0877302028239,None,437.0877302028239,None,space,437.0877302028239,None,4.9961,437.58611444104463,None,0.36844946909695864,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
left,0.75,1.0,0,0,0,0,0,1,0,1,0,0,4,4,4,,,,,,,,,,,,,,,5s,438.67752654105425,439.6794749670662,439.6703984509222,None,440.67062462400645,441.7711252551526,440.67062462400645,441.7711252551526,441.7623311220668,None,441.7623311220668,None,space,441.7623311220668,None,1.0975,442.2695628008805,None,0.38359235785901546,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
left,1.0,0.75,1,0,0,0,0,1,0,1,0,0,5,5,2,,,,,,,,,,,,,,,5s,443.3690238557756,444.37049832893535,444.3543906598352,None,445.3543960917741,445.8794782049954,445.3543960917741,445.8794782049954,445.8794782049954,None,445.8794782049954,None,space,445.8794782049954,None,0.5237,446.54622354591265,None,0.5422458127140999,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
left,0.75,1.0,0,0,0,0,0,1,0,1,0,0,6,6,5,,,,,,,,,,,,,,,5s,447.64424816705287,448.6455145557411,448.6372712031007,None,449.63727076677606,453.12918696412817,449.63727076677606,453.12918696412817,453.12918696412817,None,453.12918696412817,None,space,453.12918696412817,None,3.4901,453.66935619385913,None,0.4107360648922622,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
right,1.0,0.75,0,0,0,0,0,1,0,1,0,0,7,7,9,,,,,,,,,,,,,,,5s,454.7613307801075,455.7619632189162,455.7537179538049,None,456.75416570017114,461.1121412059292,456.75416570017114,461.1121412059292,461.1046323031187,None,461.1046323031187,None,space,461.1046323031187,None,4.3529,461.5692689730786,None,0.33577221538871527,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
right,0.75,1.0,1,0,0,0,0,1,0,1,0,0,8,8,7,,,,,,,,,,,,,,,5s,462.6615545847453,463.66214304277673,463.65384987788275,None,464.6541586178355,465.7792102699168,464.6541586178355,465.7792102699168,465.7792102699168,None,465.7792102699168,None,space,465.7792102699168,None,1.1256,466.4195784041658,None,0.5114322360605001,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
right,1.0,0.75,0,0,0,0,0,1,0,1,0,0,9,9,3,,,,,,,,,,,,,,,5s,467.51129907090217,468.51210885308683,468.50382610876113,None,469.5038858568296,474.00396328186616,469.5038858568296,474.00396328186616,473.99591585295275,None,473.99591585295275,None,space,473.99591585295275,None,4.4992,474.5701053151861,None,0.44483252381905913,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
right,0.75,1.0,1,0,0,0,0,1,0,1,0,1,0,10,7,,,,,,,,,,,,,,,5s,475.6615453697741,476.663166183047,476.646062805783,None,477.6460134908557,480.1958319260739,477.6460134908557,480.1958319260739,480.1958319260739,None,480.1958319260739,None,space,480.1958319260739,None,2.5468,480.7383163240738,None,0.41714165499433875,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
left,0.75,1.0,0,0,0,0,0,1,0,1,0,1,1,11,8,,,,,,,,,,,,,,,5s,481.8453674199991,482.84652177104726,482.829718968831,None,483.82980878278613,484.41260938113555,483.82980878278613,484.41260938113555,484.41260938113555,None,484.41260938113555,None,space,484.41260938113555,None,0.5835,485.0119115510024,None,0.46887004002928734,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
