attn_cue,left_ob,right_ob,congruent,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,text_2.started,text_2.stopped,init_key_resp.keys,init_key_resp.rt,init_key_resp.started,init_key_resp.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,block_num,texter.started,texter.stopped,cross.started,cross.stopped,left_star.started,left_star.stopped,right_star.started,right_star.stopped,left_2.started,left_2.stopped,right_2.started,right_2.stopped,key_resp.keys,key_resp.started,key_resp.stopped,Rand Tim,text.started,text.stopped,key_resp.rt,end.started,end.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
right,0.75,1.0,1,0,0,0,0,1,0,1,0,0,0,0,9,,,,,,,,,500.9733131919056,None,500.9733131919056,None,500.9733131919056,None,3s,502.73168874392286,503.73160473885946,503.7232786130626,None,504.72328126686625,505.64835361600854,504.72328126686625,505.64835361600854,505.6399633658584,None,505.6399633658584,None,space,505.6399633658584,None,0.9201,506.03170143906027,None,0.2588748780544847,,,,,,,DEC019,001,2022_Nov_11_1340,2-25_cond_decay_EYE-try,2021.2.3,120.01439356575331,
left,0.75,1.0,0,0,0,0,0,1,0,1,0,0,1,1,2,,,,,,,,,,,,,,,3s,507.0899721500464,508.0899931769818,508.0817051939666,None,509.08166619297117,511.92334785405546,509.08166619297117,511.92334785405546,511.92334785405546,None,511.92334785405546,None,space,511.92334785405546,None,2.838,512.3650902239606,None,0.31087316293269396,,,,,,,DEC019,001,2022_Nov_11_1340,2-25_cond_decay_EYE-try,2021.2.3,120.01439356575331,
right,1.0,0.75,0,0,0,0,0,1,0,1,0,0,2,2,3,,,,,,,,,,,,,,,3s,513.415033566067,514.4150464050472,514.4067182459403,None,515.4068040640559,517.690153327072,515.4068040640559,517.690153327072,517.6817757340614,None,517.6817757340614,None,space,517.6817757340614,None,2.2774,518.1068251789548,None,0.2941272540483624,,,,,,,DEC019,001,2022_Nov_11_1340,2-25_cond_decay_EYE-try,2021.2.3,120.01439356575331,
left,0.75,1.0,0,0,0,0,0,1,0,1,0,0,3,3,8,,,,,,,,,,,,,,,3s,519.1651781669352,520.1651341940742,520.1568423009012,None,521.1567932560574,521.3734568669461,521.1567932560574,521.3734568669461,521.3734568669461,None,521.3734568669461,None,space,521.3734568669461,None,0.2132,521.9401952200569,None,0.43586089881137013,,,,,,,DEC019,001,2022_Nov_11_1340,2-25_cond_decay_EYE-try,2021.2.3,120.01439356575331,
left,1.0,0.75,1,0,0,0,0,1,0,1,0,0,4,4,1,,,,,,,,,,,,,,,3s,522.9985102319624,523.9984833828639,523.990217075916,None,524.9901838430669,527.0319262349512,524.9901838430669,527.0319262349512,527.0236062828917,None,527.0236062828917,None,space,527.0236062828917,None,2.0372,527.4569195029326,None,0.3005331219173968,,,,,,,DEC019,001,2022_Nov_11_1340,2-25_cond_decay_EYE-try,2021.2.3,120.01439356575331,
right,1.0,0.75,0,0,0,0,0,1,0,1,0,0,5,5,7,,,,,,,,,,,,,,,3s,528.5152846979909,529.5153464919422,529.5068881530315,None,530.5069826438557,533.465266194893,530.5069826438557,533.465266194893,533.465266194893,None,533.465266194893,None,space,533.465266194893,None,2.9573,533.9319841340184,None,0.3358614461030811,,,,,,,DEC019,001,2022_Nov_11_1340,2-25_cond_decay_EYE-try,2021.2.3,120.01439356575331,
left,0.75,1.0,0,0,0,0,0,1,0,1,0,0,6,6,0,,,,,,,,,,,,,,,3s,534.9903493640013,535.9902994309086,535.9820156740025,None,536.9820285830647,539.8819905139972,536.9820285830647,539.8819905139972,539.8819905139972,None,539.8819905139972,None,space,539.8819905139972,None,2.8965,540.2737280300353,None,0.2608581178355962,,,,,,,DEC019,001,2022_Nov_11_1340,2-25_cond_decay_EYE-try,2021.2.3,120.01439356575331,
right,1.0,0.75,0,0,0,0,0,1,0,1,0,0,7,7,6,,,,,,,,,,,,,,,3s,541.3320128489286,542.3320136158727,542.3237554070074,None,543.323772334028,543.5820385608822,543.323772334028,543.5820385608822,543.5820385608822,None,543.5820385608822,None,space,543.5820385608822,None,0.2553,544.1070933870506,None,0.39409032301045954,,,,,,,DEC019,001,2022_Nov_11_1340,2-25_cond_decay_EYE-try,2021.2.3,120.01439356575331,
right,1.0,0.75,0,0,0,0,0,1,0,1,0,0,8,8,4,,,,,,,,,,,,,,,3s,545.1642384838779,546.1653954188805,546.1570824398659,None,547.1571817758959,547.6404191630427,547.1571817758959,547.6404191630427,547.6321378389839,None,547.6321378389839,None,space,547.6321378389839,None,0.4774,548.098855586024,None,0.3356664350721985,,,,,,,DEC019,001,2022_Nov_11_1340,2-25_cond_decay_EYE-try,2021.2.3,120.01439356575331,
left,0.75,1.0,0,0,0,0,0,1,0,1,0,0,9,9,5,,,,,,,,,,,,,,,3s,549.1572571559809,550.1571053960361,550.148843848845,None,551.1487807889935,553.6238132149447,551.1487807889935,553.6238132149447,553.6238132149447,None,553.6238132149447,None,space,553.6238132149447,None,2.4749,554.0572118940763,None,0.3026999600697309,,,,,,,DEC019,001,2022_Nov_11_1340,2-25_cond_decay_EYE-try,2021.2.3,120.01439356575331,
